Date,dxy_ret_1,dxy_ret_5,dxy_z20,us10y_ret_1,us10y_ret_5,us10y_z20,vix_ret_1,vix_ret_5,vix_z20,gold_ret_1,gold_ret_5,gold_z20,sp500_ret_1,sp500_ret_5,sp500_z20,vix_level,vix_pctile_60,dxy_trend_5v20
2016-01-04,,,,,,,,,,,,,,,,,,
2016-01-05,,,,,,,,,,,,,,,,20.700000762939453,,
2016-01-06,0.005360561996294644,,,0.0013363123090261997,,,-0.06570051015584788,,,0.0030695273956511393,,,0.0020122259542274534,,,19.34000015258789,,
2016-01-07,-0.002213291924807903,,,-0.03158356926839534,,,0.06463288470205808,,,0.012518545710656026,,,-0.013115396702646942,,,20.59000015258789,,
2016-01-08,-0.009679361580144707,,,-0.011024312780637424,,,0.21369594880635545,,,0.01447012217651622,,,-0.023700443014411654,,,24.989999771118164,,
2016-01-11,0.003257989114713755,,,-0.010682768538981424,,,0.08083235199138561,,,-0.00893735016714281,,,-0.010838374390218508,,,27.010000228881836,,
2016-01-12,0.001928175762542672,-0.0014159945965337428,,0.013145481889815347,-0.038752738362305306,,-0.1003332457925521,0.17391296335439765,,-0.001184230980416534,0.01990514826530365,,0.0008532721255336551,-0.04421511269817868,,24.299999237060547,,-0.011056873409247103
2016-01-13,0.002430850355609415,-0.004325958738177982,,-0.025949951100990076,-0.06494658119091568,,-0.07530864120008185,0.16184069990029326,,-0.00994074273968304,0.006676512434045101,,0.00780279851675636,-0.0386916853379794,,22.469999313354492,,-0.016480210516225058
2016-01-14,-0.00040417212320875695,-0.0025206694820604225,,-0.017126552513847204,-0.05098762457562156,,0.12238540649912721,0.22486639759372085,,0.0017502067582830794,-0.004029695316128956,,-0.02496545230421965,-0.050234632650094646,,25.219999313354492,,-0.0004998088660166378
2016-01-15,0.0016172650583370363,0.00885761663994078,,0.01548889888005589,-0.025545779742217833,,-0.05035680352864047,-0.04161660735110029,,-0.012505724676724173,-0.030513612212453745,,0.016695905386662213,-0.010936189457922962,,23.950000762939453,,0.0007712913482555983
2016-01-18,-0.0013119109720691746,0.004262209915193216,,-0.030981914053399895,-0.04553996096651525,,0.12818369924959572,0.0003702417177746664,,0.016388839916025022,-0.005738794450638074,,-0.021599098001850003,-0.021695848975597065,,27.020000457763672,,0.010821764775539089
2016-01-19,0.0016168518956107825,0.003950160806117875,,0.0,-0.05792400391192076,,0.0,0.11193421012766058,,0.0,-0.004559963520291865,,0.0,-0.02252989696805674,,27.020000457763672,,-0.004134098671936037
2016-01-20,-0.001311590791062467,0.00020204751762920026,,0.000983813805995437,-0.031874363616916424,,-0.0358993783963617,0.15932354397440363,,-0.0014658502848717836,0.003960988324271275,,0.0005318215543925753,-0.029582033170699296,,26.049999237060547,,0.006760001472941535
2016-01-21,0.0010101876581380953,0.0016172650583370363,,-0.025061482115268263,-0.039690231254483344,,0.05911711940998576,0.09397307310704162,,0.015781219182118944,0.018022966056034484,,-0.011693855152413501,-0.016373274204087074,,27.59000015258789,,-0.0034336732323534402
2016-01-22,-0.0003027427632006363,-0.0003027427632006363,,0.017641172582007147,-0.037654906729244875,,-0.03262050067244582,0.11440499723733111,,-0.0072260863304292045,0.02346582605361669,,0.005195438361131455,-0.027499675584787386,,26.690000534057617,,0.0012109710528025452
2016-01-25,0.005148416604076722,0.00616411293446828,,0.014363567658207677,0.007378310359304807,,-0.16298240143978016,-0.17320504166871964,,-0.0017287093588093105,0.005222126588983134,,0.020283701024494727,0.014130535055200788,,22.34000015258789,,-0.01957797008591533
2016-01-26,-0.0021090598083387535,0.0024212858869983034,,-0.012695323072875353,-0.005410682747313822,,0.08102056640911481,-0.10621764584051885,,0.008202698141198006,0.013467660258245528,,-0.015637982053378963,-0.0017284200517759807,,24.149999618530273,,0.012966584928692071
2016-01-27,0.0,0.0037377791147266137,,-0.013847732600485108,-0.020147482094882596,,-0.06832296664983095,-0.136276366258394,,0.014011933361215423,0.029176920860157107,,0.014144335590226431,0.011853342767629282,,22.5,,0.0037377791147266137
2016-01-28,-0.004629620386946032,-0.0019173964984704472,,0.003510516363956384,0.008568528338463999,,0.027111138237847276,-0.1623776555802633,,-0.004992400668366814,0.008129347121732744,,-0.010863483795639506,0.01270349839751228,,23.110000610351562,,0.02123070543625971
2016-01-29,-0.003943370916393629,-0.005552144517649071,,-0.007995958918130097,-0.01684003873268547,,-0.029857226994124297,-0.15998502706341133,,-0.0004479885412931317,0.01501228311028191,,0.005528577205787588,0.013039125540812213,,22.420000076293945,,0.014164710064319075
2016-02-01,0.01116636331608123,0.0004017366239825737,1.6727961856742655,-0.027204040119901074,-0.057128953827939366,-1.6130320462550463,-0.09901870231043552,-0.09579227283042513,-1.446078940522978,0.0007171466884487998,0.017499156121617343,1.3629306381794768,0.0247602174153414,0.017483856202978876,0.5124771113544261,20.200000762939453,,-0.05543007995642357
2016-02-02,-0.006123889234151525,-0.003623194526370166,-0.08449729836242025,0.01812530643454835,-0.02769540624484501,-1.1462205909085859,-0.010891149128407829,-0.17267081334006762,-1.4879914364883424,0.010300967169931452,0.019616772916324132,1.920238272273005,-0.00044323658717015935,0.03318987485171876,0.6507307772929585,19.979999542236328,,0.02699625164438746
